product_id,brand,platform,title_clean,title_raw,category,product_format,selling_price,mrp,discount_pct,discount_source,rating,review_count,rating_source,review_source,seller,availability,pack_count,unit_quantity,unit,total_quantity,price_per_unit,price_per_100g,price_per_100ml,product_url,scraped_at,raw_reference
8807709212954_47216813506842,AromaPure,AromaPure Official,White Tealight Ceramic Cylindrical with Dots Design Diffuser with 15 ml (Peppermint Sensation) - Peppermint / 1,White Tealight Ceramic Cylindrical with Dots Design Diffuser with 15 ml (Peppermint Sensation) - Peppermint / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-cylindrical-with-dots-design-diffuser-with-15-ml-peppermint-sensation,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807709212954_47216813506842.html
8807694795034_47216748953882,AromaPure,AromaPure Official,Tealight Ceramic Cylindrical with Dots Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Tealight Ceramic Cylindrical with Dots Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/tealight-ceramic-cylindrical-with-dots-design-diffuser-with-15-ml-fragrance-oil-charming-rose,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807694795034_47216748953882.html
8807689715994_47216729227546,AromaPure,AromaPure Official,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Joyful Lavender) - Lavender / 1,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Joyful Lavender) - Lavender / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-joyful-lavender,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807689715994_47216729227546.html
8807679820058_47216685875482,AromaPure,AromaPure Official,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-thai-lemongrass,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807679820058_47216685875482.html
8807662584090_47216605757722,AromaPure,AromaPure Official,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-zesty-orange,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807662584090_47216605757722.html
8807649083674_47216545300762,AromaPure,AromaPure Official,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-charming-rose,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807649083674_47216545300762.html
8807625982234_47216415310106,AromaPure,AromaPure Official,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Natural Citronella) - Citronella / 1,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Natural Citronella) - Citronella / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-leaves-design-diffuser-with-15-ml-fragrance-oil-natural-citronella,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807625982234_47216415310106.html
8807621755162_47216399384858,AromaPure,AromaPure Official,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-leaves-design-diffuser-with-15-ml-fragrance-oil-thai-lemongrass,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807621755162_47216399384858.html
8807621722394_47216399352090,AromaPure,AromaPure Official,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Joyful Lavender) - Lavender / 1,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Joyful Lavender) - Lavender / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,359.0,599.0,40.07,calculated,,,,,,In Stock,1,15.0,ml,15.0,359.0,,2393.33,https://aromahpure.com/products/copy-of-aromahpure-blue-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-joyful-lavender-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807621722394_47216399352090.html
8807619952922_47216389685530,AromaPure,AromaPure Official,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-leaves-design-diffuser-with-15-ml-fragrance-oil-zesty-orange,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807619952922_47216389685530.html
8807615398170_47216344858906,AromaPure,AromaPure Official,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,359.0,599.0,40.07,calculated,,,,,,In Stock,1,15.0,ml,15.0,359.0,,2393.33,https://aromahpure.com/products/copy-of-aromahpure-blue-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-thai-lemongrass-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807615398170_47216344858906.html
8807614087450_47216339878170,AromaPure,AromaPure Official,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-leaves-design-diffuser-with-15-ml-fragrance-oil-charming-rose,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807614087450_47216339878170.html
8807613104410_47216335651098,AromaPure,AromaPure Official,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,359.0,599.0,40.07,calculated,,,,,,In Stock,1,15.0,ml,15.0,359.0,,2393.33,https://aromahpure.com/products/copy-of-aromahpure-blue-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-charming-rose-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807613104410_47216335651098.html
8807610810650_47216326181146,AromaPure,AromaPure Official,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Ylang Ylang Secret) - Ylang -Ylang / 1,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Ylang Ylang Secret) - Ylang -Ylang / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,359.0,599.0,40.07,calculated,,,,,,In Stock,1,15.0,ml,15.0,359.0,,2393.33,https://aromahpure.com/products/copy-of-aromahpure-blue-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-ylang-ylang-secret-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807610810650_47216326181146.html
8807607730458_47216314450202,AromaPure,AromaPure Official,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Thai Lemongrass) - Lemongrass / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/copy-of-aromahpure-brown-tealight-ceramic-square-with-bowl-design-diffuser-with-15-ml-fragrance-oil-thai-lemongrass-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807607730458_47216314450202.html
8807605305626_47216304816410,AromaPure,AromaPure Official,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/copy-of-aromahpure-brown-tealight-ceramic-square-with-bowl-design-diffuser-with-15-ml-fragrance-oil-zesty-orange-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807605305626_47216304816410.html
8807601897754_47216290332954,AromaPure,AromaPure Official,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Charming Rose) - Rose / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/copy-of-aromahpure-brown-tealight-ceramic-square-with-bowl-design-diffuser-with-15-ml-fragrance-oil-charming-rose-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807601897754_47216290332954.html
8807560806682_47216092971290,AromaPure,AromaPure Official,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,Blue Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Zesty Orange) - Orange / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,359.0,599.0,40.07,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,359.0,,2393.33,https://aromahpure.com/products/copy-of-aromahpure-blue-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-zesty-orange-1,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807560806682_47216092971290.html
8807553335578_47216054927642,AromaPure,AromaPure Official,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Peppermint Sensation) - Peppermint / 1,Brown Tealight Ceramic Square with Bowl Design Diffuser with 15 ml Fragrance Oil (Peppermint Sensation) - Peppermint / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/brown-tealight-ceramic-square-with-bowl-design-diffuser-with-15-ml-fragrance-oil-peppermint-sensation,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807553335578_47216054927642.html
8807542391066_47215993782554,AromaPure,AromaPure Official,White Tealight Ceramic Cylindrical with Dots Design Diffuser with 15 ml Fragrance Oil (White Sandalwood) - Sandalwood / 1,White Tealight Ceramic Cylindrical with Dots Design Diffuser with 15 ml Fragrance Oil (White Sandalwood) - Sandalwood / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-cylindrical-with-dots-design-diffuser-with-15-ml-fragrance-oil-white-sandalwood,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807542391066_47215993782554.html
8807530889498_47215911305498,AromaPure,AromaPure Official,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (White Sandalwood) - Sandalwood / 1,White Tealight Ceramic Leaves Design Diffuser with 15 ml Fragrance Oil (White Sandalwood) - Sandalwood / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,In Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/white-tealight-ceramic-leaves-design-diffuser-with-15-ml-fragrance-oil-white-sandalwood,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807530889498_47215911305498.html
8807472300314_47215592243482,AromaPure,AromaPure Official,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Ylang Ylang Secret) - Ylang -Ylang / 1,White Tealight Ceramic Floral Design Diffuser with 15 ml Fragrance Oil (Ylang Ylang Secret) - Ylang -Ylang / 1,Reed Diffuser & Fragrance Oil,Diffuser / Aroma Oil,479.0,599.0,20.03,calculated,,,,,,Out of Stock,1,15.0,ml,15.0,479.0,,3193.33,https://aromahpure.com/products/aromahpure-white-tealight-ceramic-floral-design-diffuser-with-15-ml-fragrance-oil-ylang-ylang-secret,2026-09-24T05:03:54.351883+00:00,data/raw\aromapure\product_pages\8807472300314_47215592243482.html
