source,brand_query,source_url,product_url,product_id,asin,sku,product_name,brand,category_raw,subcategory_raw,product_type_raw,tags_raw,price_raw,mrp_raw,discount_raw,pack_size_raw,rating_raw,review_count_raw,availability_raw,seller_raw,description_raw,scraped_at,raw_source_reference,rejection_reason,raw_page_reference,review_source
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0B2RC3PD6,B0B2RC3PD6,B0B2RC3PD6,,Odonil,Odonil,,,,[],294,57.65,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07V5W2GZR,B07V5W2GZR,B07V5W2GZR,,Odonil,Odonil,,,,[],109,71.24,,,4.3,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0C7GX5246,B0C7GX5246,B0C7GX5246,,Odonil,Odonil,,,,['Limited time deal'],290,966.67,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BPCNFT1X,B0BPCNFT1X,B0BPCNFT1X,,Odonil,Odonil,,,,[],51,510,,,4.1,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07SWDFMVW,B07SWDFMVW,B07SWDFMVW,,Odonil,Odonil,,,,[],260,65,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B08XVN2NXD,B08XVN2NXD,B08XVN2NXD,,Odonil,Odonil,,,,[],838,52.38,,,4.0,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00TGNSJ6Y,B00TGNSJ6Y,B00TGNSJ6Y,,Odonil,Odonil,,,,[],90,120,,,4.2,4,In Stock,,,2026-09-23T18:57:05.992658+00:00,search_q1_p2_20260923T184631Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B012U5EJEK,B012U5EJEK,B012U5EJEK,,Odonil,Odonil,,,,[],59,69,,,1.0,1,In Stock,,,2026-09-23T18:57:05.992658+00:00,search_q1_p2_20260923T184631Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0B855HZ7Y,B0B855HZ7Y,B0B855HZ7Y,,ODONIL AIR FRESHENER,Odonil,,,,[],,,,,,,In Stock,,,2026-09-23T18:57:05.992658+00:00,search_q1_p2_20260923T184631Z.html,invalid_or_zero_price,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0144P0BJ6,B0144P0BJ6,B0144P0BJ6,,Odonil,Odonil,,,,[],,,,,3.9,3,In Stock,,,2026-09-23T18:57:05.992658+00:00,search_q1_p2_20260923T184631Z.html,invalid_or_zero_price,,
